Address,City,Venue_Name,Latitude,Longitude,Miles_Away,Type,Category_ID
50 Bradford St,Haverhill,AFC Urgent Care Methuen,42.74801,-71.12998,1.3,Emergency Room,4bf58dd8d48988d194941735
50 Bradford St,Haverhill,Amtrak Train 686,42.75816080001131,-71.10059851795998,1.5,Train,4bf58dd8d48988d129951735
50 Cobblestone Cir,North Andover,North Andover Town Common,42.68425947938683,-71.11500096346748,0.2,Park,4bf58dd8d48988d163941735
50 Cobblestone Cir,North Andover,Andover Country Club,42.672571426961625,-71.16706660710031,2.6,Golf Course,4bf58dd8d48988d1e6941735
50 Cobblestone Cir,North Andover,North Andover Fire Department,42.682369,-71.110961,0.5,Fire Station,4bf58dd8d48988d12c941735
50 Cobblestone Cir,North Andover,Andover Commuter Rail Station,42.6658901633064,-71.14708926384874,2.0,Train,4bf58dd8d48988d129951735
50 Cobblestone Cir,North Andover,North Andover Police Department,42.692820000000005,-71.119249,0.5,Police Station,4bf58dd8d48988d12e941735
50 Cobblestone Cir,North Andover,AFC Urgent Care North Andover,42.675540924072266,-71.13066101074219,0.9,Emergency Room,4bf58dd8d48988d194941735
50 Cobblestone Cir,North Andover,Market Basket,42.68459997115708,-71.13646899619886,0.9,Grocery Store,4bf58dd8d48988d118951735
575 Essex St,Hamilton,Beverly Hospital Security Office,42.56423631001792,-70.87499110760453,4.7,Emergency Room,4bf58dd8d48988d194941735
575 Essex St,Hamilton,Gordon Police,42.59088559075832,-70.8235256863326,1.9,Police Station,4bf58dd8d48988d12e941735
575 Essex St,Hamilton,,,,,,4bf58dd8d48988d118951735
575 Essex St,Hamilton,,,,,,4bf58dd8d48988d163941735
575 Essex St,Hamilton,,,,,,4bf58dd8d48988d129951735
575 Essex St,Hamilton,,,,,,4bf58dd8d48988d12c941735
575 Essex St,Hamilton,Myopia Hunt Club,42.60920820991451,-70.85915262940203,2.1,Golf Course,4bf58dd8d48988d1e6941735
6 Barberry Ln,West Newbury,West Newbury Fire Station,42.801296563319845,-70.98808877592816,1.4,Fire Station,4bf58dd8d48988d12c941735
6 Barberry Ln,West Newbury,Merrimack Valley Gynecology,42.76529497478418,-71.04550241285732,2.5,Hospital,4bf58dd8d48988d194941735
6 Barberry Ln,West Newbury,West Newbury Police Department,42.795833587646484,-70.99629211425781,0.8,Police Station,4bf58dd8d48988d12e941735
6 Barberry Ln,West Newbury,,,,,,4bf58dd8d48988d163941735
6 Barberry Ln,West Newbury,West Newbury Food Mart,42.794878000000004,-70.995981,0.8,Grocery Store,4bf58dd8d48988d118951735
6 Barberry Ln,West Newbury,Renaissance Golf Club,42.77922263772293,-71.03900694941903,1.8,Golf Course,4bf58dd8d48988d1e6941735
6 Barberry Ln,West Newbury,,,,,,4bf58dd8d48988d129951735
69 Old Yankee Rd,Haverhill,Kev's Country Store,42.80676773,-71.200477,1.4,Grocery Store,4bf58dd8d48988d118951735
69 Old Yankee Rd,Haverhill,AFC Urgent Care Methuen,42.74801,-71.12998,4.2,Emergency Room,4bf58dd8d48988d194941735
69 Old Yankee Rd,Haverhill,,,,,,4bf58dd8d48988d12e941735
69 Old Yankee Rd,Haverhill,,,,,,4bf58dd8d48988d163941735
69 Old Yankee Rd,Haverhill,,,,,,4bf58dd8d48988d12c941735
69 Old Yankee Rd,Haverhill,,,,,,4bf58dd8d48988d129951735
69 Old Yankee Rd,Haverhill,Atkinson Resort & Country Club,42.820483121437896,-71.17990084768037,1.6,Golf Course,4bf58dd8d48988d1e6941735
7 Montgomery St,Saugus,Atlantic Ambulance- Lynn,42.47461958550371,-70.95608488234025,2.5,Emergency Room,4bf58dd8d48988d194941735
7 Montgomery St,Saugus,Saugus Police Dept,42.464192242201065,-71.006749655218,0.6,Police Station,4bf58dd8d48988d12e941735
7 Montgomery St,Saugus,,,,,,4bf58dd8d48988d163941735
7 Montgomery St,Saugus,Mt. Hood Golf Club,42.453714435060405,-71.0399424825267,2.1,Golf Course,4bf58dd8d48988d1e6941735
7 Montgomery St,Saugus,"Guarente Plumbing & Heating, Inc",42.463531494140625,-71.00939178466797,0.7,Fire Station,4bf58dd8d48988d12c941735
7 Montgomery St,Saugus,Market Basket,42.46322728962244,-70.96752903651466,1.7,Grocery Store,4bf58dd8d48988d118951735
7 Montgomery St,Saugus,Cliftondale Depot Station,42.448833,-71.01467,1.0,Train Station,4bf58dd8d48988d129951735
7 Sparhawk Dr,Lynnfield,King Rail Golf Course,42.51649086673135,-71.02643993034306,0.5,Golf Course,4bf58dd8d48988d1e6941735
7 Sparhawk Dr,Lynnfield,Union Hospital Emergency Room,42.501324,-70.979885,2.6,Emergency Room,4bf58dd8d48988d194941735
7 Sparhawk Dr,Lynnfield,,,,,,4bf58dd8d48988d163941735
7 Sparhawk Dr,Lynnfield,,,,,,4bf58dd8d48988d129951735
7 Sparhawk Dr,Lynnfield,Whole Foods Market,42.5144224656762,-71.03206340823202,0.3,Grocery Store,4bf58dd8d48988d118951735
7 Sparhawk Dr,Lynnfield,Lynnfield Fire,42.515010833740234,-71.01183319091797,1.0,Fire Station,4bf58dd8d48988d12c941735
7 Sparhawk Dr,Lynnfield,Reading Police Academy,42.517909497485924,-71.05178771346687,1.2,Police Station,4bf58dd8d48988d12e941735
75 Bennett Hill Rd,Rowley,Sherif,42.70887947683751,-70.90636594278574,1.5,Police Station,4bf58dd8d48988d12e941735
75 Bennett Hill Rd,Rowley,Ipswich Country Club,42.69465934974526,-70.89781971291814,2.2,Golf Course,4bf58dd8d48988d1e6941735
75 Bennett Hill Rd,Rowley,Market Basket,42.708056889982615,-70.90606720686979,1.5,Grocery Store,4bf58dd8d48988d118951735
75 Bennett Hill Rd,Rowley,Rowley Fire Department,42.715768,-70.87789000000001,0.9,Fire Station,4bf58dd8d48988d12c941735
75 Bennett Hill Rd,Rowley,Action Linebrook,42.684461,-70.919625,3.3,Emergency Room,4bf58dd8d48988d194941735
75 Bennett Hill Rd,Rowley,,,,,,4bf58dd8d48988d163941735
75 Bennett Hill Rd,Rowley,MBTA Rowley Station,42.72607258467487,-70.85904811817767,1.5,Train Station,4bf58dd8d48988d129951735
76 High Rd,Newbury,Newbury Firefighters' Memorial Hall,42.79816775676745,-70.86062520250361,0.6,Fire Station,4bf58dd8d48988d12c941735
76 High Rd,Newbury,Newburyport Police Department,42.811572,-70.872509,1.7,Police Station,4bf58dd8d48988d12e941735
76 High Rd,Newbury,Anna Jaques Emergency Room,42.814494089025786,-70.89189893445271,2.5,Emergency Room,4bf58dd8d48988d194941735
76 High Rd,Newbury,Tendercrop Farm,42.78665327883775,-70.85116502308236,0.4,Grocery Store,4bf58dd8d48988d118951735
76 High Rd,Newbury,Amesbury Country Club,42.812252044677734,-70.87590789794922,1.8,Golf Course,4bf58dd8d48988d1e6941735
76 High Rd,Newbury,The Newbury Green,42.796481,-70.861536,0.5,Park,4bf58dd8d48988d163941735
76 High Rd,Newbury,Newburyport MBTA Station,42.79799828387902,-70.87805133647616,1.3,Train Station,4bf58dd8d48988d129951735
